player_name,total_goals,total_assists,total_shots,total_shots_on_target,total_minutes_played,average_rating
Ricardo Kobal,0,0,5,0,1104,2.7342857142857144
Ricardo Mbabu,1,1,6,1,1198,3.6885714285714286
Ricardo Sommer,2,3,34,6,950,3.6085714285714285
Richarlison Ferreira,1,1,12,1,1472,4.262222222222222
Richarlison Junior,1,5,20,3,1603,3.7422222222222223
Richie Bomba,0,0,16,0,1917,4.4375
Ritsu Endo,7,4,41,13,1248,3.125
Ritsu Hashioka,1,0,14,2,1008,4.083333333333333
Ritsu Ito,1,0,10,1,1616,4.177777777777778
Riyad Bennacer,0,0,0,0,893,1.8341463414634147
Riyad Benrahma,2,3,29,5,1497,4.331707317073171
Riyad Bensebaini,0,0,7,0,1522,4.102439024390244
Riyad Mokrani,5,1,37,9,1657,4.102439024390244
Robert Krychowiak,0,3,13,1,1420,4.079487179487179
Robert Skoras,3,1,54,12,1631,3.8923076923076927
Robert Swierczok,5,4,22,6,1869,4.78974358974359
Robert Zielinski,0,0,0,0,799,1.523076923076923
Robin Björkman,0,2,13,1,1517,4.577777777777778
Robin Lindelof,1,0,20,4,1006,3.8583333333333334
Robin Wahlqvist,3,4,16,3,1293,3.25
Rodri Alonso,3,1,17,3,1963,4.002222222222222
Rodri Fati,0,0,0,0,1278,2.2644444444444445
Rodri Laporte,0,3,9,0,1993,4.264444444444445
Rodri Mikel,6,6,45,10,1528,3.3866666666666667
Rodrigo Alvarez,4,3,35,10,1385,3.614705882352941
Rodrigo Fernandez,2,2,30,3,1254,4.688235294117647
Rodrigo Lo Celso,0,1,7,0,1212,3.8588235294117643
Rodrigo Olivera,0,0,3,0,1314,3.0244444444444443
Rodrigo Trezeguet,1,3,14,1,1807,3.586666666666667
Rodrygo Costa,0,2,19,0,1718,3.6577777777777776
Rodrygo Fabinho,0,0,9,0,1690,3.6155555555555554
Rodrygo Paqueta,0,2,0,0,1184,2.2333333333333334
Rodrygo Reis,6,5,32,10,1831,3.6333333333333333
Romain Aboukhlal,5,3,46,11,2636,4.87090909090909
Romain Aguerd,6,4,33,7,2291,3.958181818181818
Romain Amrabat,0,0,0,0,1346,2.0109090909090908
Romain Mazraoui,1,0,9,1,2130,3.5509090909090912
Romelu Courtois,0,0,0,0,1182,1.8
Romelu Onana,2,9,42,7,1735,4.196078431372549
Romelu Vanheusden,10,1,73,20,1729,4.482352941176471
Romelu Witsel,0,1,10,0,2321,4.1
Ronald De Arrascaeta,1,3,12,1,1625,3.9644444444444447
Ronald Gimenez,3,0,22,4,1474,3.1644444444444444
Ronald Haxiel,0,1,12,0,1565,3.182608695652174
Ronald Varela,1,2,17,1,2276,4.862222222222223
Ronwen Dolly,1,2,7,1,1268,4.5285714285714285
Ronwen Mkhize,5,7,20,6,1664,4.977142857142857
Ronwen Mokoena,3,2,10,5,923,2.6
Ruben Fernandes,1,4,17,1,1938,4.427906976744186
Ruben Inacio,0,0,9,0,1490,4.018604651162791
Ruslan Bondarenko,0,3,23,2,1478,4.3315789473684205
Ruslan Makarenko,1,0,7,1,1617,4.61578947368421
Ruslan Sudakov,7,3,27,9,1274,2.863157894736842
Ryan Clark,5,4,21,5,1825,3.938775510204082
Ryan Forrest,1,0,14,1,1727,3.6510204081632653
Sadio Diatta,0,1,9,0,1166,3.486842105263158
Sadio Diouf,8,8,67,18,1602,3.905263157894737
Sadio Koulibaly,0,0,0,0,495,1.0947368421052632
Sadio Sabaly,2,1,11,3,1603,4.097368421052631
Safaa Abbas,1,3,12,1,1758,3.702439024390244
Safaa Al-Khafaji,3,5,14,4,1123,2.9878048780487805
Safaa Mhawi,11,4,44,15,1600,4.173170731707317
Saleh Al-Abdulkarim,0,1,11,0,1681,3.3
Saleh Al-Ghamdi,0,0,8,0,1735,3.088461538461538
Saleh Al-Otaibi,0,0,0,0,1460,2.1326923076923077
Saleh Al-Qahtani,13,9,92,26,2102,4.694230769230769
Salem Al-Buraikan,0,1,0,0,1291,1.9807692307692308
Salem Al-Faraj,1,1,7,1,1448,2.8076923076923075
Salem Al-Rubaie,6,2,35,9,1621,3.3115384615384613
Salem Al-Tambakti,6,9,31,10,1879,3.9134615384615383
Sam Hoilett,0,0,11,0,1748,3.627083333333333
Sam James,4,6,37,8,1800,4.133333333333334
Saman Abdollahzadeh,1,2,17,2,1353,3.6131578947368426
Saman Azmoun,13,4,40,17,1219,3.392105263157895
Saman Torabi,2,2,7,2,1640,4.7973684210526315
Samuel Choupo-Moting,0,1,0,0,975,2.159090909090909
Samuel Ejuke,5,2,33,5,1990,4.4975000000000005
Samuel Iwobi,0,0,0,0,1256,2.3775
Samuel Moumi,2,5,12,3,1743,3.8931818181818185
Samuel Olinga,11,5,57,19,1875,4.377272727272727
Samuel Simon,0,1,5,0,1293,3.22
Samuel Toko-Ekambi,1,0,11,1,1612,3.3045454545454547
Samuel Uzoho,1,5,21,1,1272,3.6799999999999997
Sandro Bellanova,9,7,30,11,2043,4.037735849056604
Sandro Chiesa,1,1,34,4,1616,3.422641509433962
Sandro Scamacca,2,1,12,2,2272,3.816981132075472
Santiago Araujo,0,2,10,0,1800,4.4925
Santiago Corona,1,2,9,1,1627,3.9899999999999998
Santiago Lozano,0,0,0,0,1130,2.245
Santiago Reyes,3,1,17,4,1554,3.5524999999999998
Sardar Ansarifard,1,0,10,1,1447,3.568421052631579
Sardar Ghoddos,0,0,0,0,612,1.2473684210526315
Sardar Heydari,2,3,27,4,1681,4.678947368421053
Sardar Moradi,5,1,51,14,1631,3.7815789473684207
Sardor Holmatov,1,6,12,2,1216,3.1318181818181823
Sardor Kobilov,0,0,0,0,1027,1.8022727272727272
Sardor Nematov,6,4,50,14,1809,3.9818181818181815
Sardor Zakirov,0,1,7,0,1454,3.55
Scott Gallagher,8,2,38,12,1725,3.940816326530612
Scott Lewis,1,8,20,1,2140,3.722448979591837
Scott McGregor,0,1,0,0,1217,2.110204081632653
Scott Patterson,1,2,12,1,1842,3.604081632653061
Sebastian Angulo,0,1,12,0,2424,4.9
Sebastian Bentancur,6,1,32,9,1993,3.9955555555555557
Sebastian Nunez,0,1,10,0,1675,3.2755555555555556
Sebastian Pellerano,2,5,32,6,1424,4.1553191489361705
Sebastian Preciado,5,5,34,9,1635,3.6872340425531918
Sebastian Torres,4,6,33,7,1987,4.8
Selim Benoun,1,0,15,1,2457,4.258181818181818
Selim Saiss,1,1,29,2,1786,3.6218181818181816
Sergej Jovic,5,6,33,7,1696,4.1
Sergej Milenkovic,0,0,7,0,1441,2.980952380952381
Sergej Mitrovic,3,3,24,5,1275,3.8
Sergino Busio,1,0,9,1,1327,3.5789473684210527
Sergino Hoppe,2,5,24,2,1643,4.468421052631579
Sergio Lapadula,4,3,24,5,1829,3.9187499999999997
Sergio Lora,4,1,16,4,2205,4.104166666666667
Seung-gyu Lee,0,2,7,0,1403,4.035294117647059
Shamar Antonio,3,4,35,5,1849,4.123728813559322
Shamar Gordon,2,2,15,2,2199,3.574576271186441
Simon Dolberg,1,3,10,1,1665,3.4069767441860463
Simon Hansen,9,5,62,18,1899,4.6069767441860465
Simon Poulsen,0,4,10,0,1464,3.597674418604651
Simon Wind,0,0,0,0,1072,1.967441860465116
Sofiane Bayo,2,0,24,5,1285,3.3536585365853657
Sofiane Kara,6,2,31,7,1657,3.978048780487805
Sofiane Mandrea,0,0,0,0,959,1.826829268292683
Sofiane Zerrouki,1,3,12,1,1829,4.258536585365854
Sofyan Chair,6,6,37,8,2177,4.381818181818182
Sofyan Hakimi,0,1,4,0,1743,3.4745454545454546
Sofyan Saiss,5,1,24,7,1883,3.5127272727272727
Son Hong,3,3,31,7,1343,4.882352941176471
Son Hwang,0,1,0,0,1029,2.326470588235294
Son Lee,1,2,7,1,1489,4.358823529411764
Son Seol,2,2,24,5,1250,3.326470588235294
Sphephelo Mbatha,0,5,19,0,1545,4.3428571428571425
Sphephelo Moseamedi,1,0,7,1,1168,3.877142857142857
Stefan Hinteregger,1,1,11,2,1427,4.021212121212121
Stefan Lainer,11,3,64,17,1688,5.418181818181819
Stefan Muhl,2,4,10,2,1701,5.012121212121213
Stefan Mvogo,2,1,8,2,1045,3.237142857142857
Stefan Okafor,2,2,11,2,1369,3.62
Stefan Zuber,7,7,51,15,1309,4.22
Stephan Chiesa,1,6,25,3,2217,4.186792452830189
Stephan Guglielmo,0,1,12,0,1941,4.681132075471698
Stephen David,9,3,49,11,2012,4.354166666666667
Stephen Kennedy,3,9,29,5,1863,3.9333333333333336
Stephen Miller,0,4,11,0,1725,4.045833333333333
Strahinja Mitrovic,2,2,12,2,1246,3.2
Strahinja Ristic,0,2,14,2,1610,3.407142857142857
Stuart Hendry,0,0,10,1,1947,4.251020408163265
Stuart McTominay,12,1,67,20,1961,4.312244897959184
Stuart Shankland,0,3,22,1,1859,3.455102040816327
Sultan Al-Mousa,0,0,10,0,2130,4.046153846153846
Tajon Buchanan,9,5,39,13,1559,3.2270833333333333
Tajon Utoikamanu,1,1,7,2,1465,3.3020833333333335
Tajon Zator,2,4,14,2,2102,3.779166666666667
Takefusa Endo,0,0,0,0,1221,2.7
Takefusa Hatate,2,4,6,2,948,2.761111111111111
Takefusa Nakano,5,3,31,6,1480,4.047222222222222
Takefusa Tanaka,0,2,9,0,1501,4.552777777777778
Teboho Billiat,3,3,15,3,1093,3.657142857142857
Teboho Maela,0,0,7,0,1450,3.951428571428572
Teboho Zwane,5,2,47,11,1419,4.44
Terem Bassey,2,1,7,2,1652,4.4125
Teun Gakpo,0,3,15,0,1543,3.7092592592592593
Teun Gravenberch,1,2,13,1,2164,4.727777777777778
Themba Mdantsane,0,0,5,0,1220,3.5885714285714285
Themba Mokoena,0,1,0,0,728,1.7457142857142858
Themba Sithole,2,2,7,2,1159,3.7714285714285714
Themba Xoki,13,2,81,24,1586,4.565714285714286
Theo Hernandez,0,1,24,2,1210,3.8764705882352946
Theo Mukiele,2,7,20,4,1916,4.638235294117647
Theo Varane,0,1,8,0,1722,4.985294117647059
Thibaut Faes,2,6,30,4,1885,3.6372549019607843
Thibaut Lukaku,7,7,53,13,1785,3.9235294117647057
Thibaut Vertonghen,0,1,10,0,1626,3.411764705882353
Thomas Asante,5,7,52,11,1956,3.893333333333333
Thomas Ayew,0,0,0,0,1074,1.7844444444444443
Thomas Djiku,2,0,7,2,1521,2.9533333333333336
Thomas Lukaku,3,4,35,7,2200,4.2
Thomas Openda,1,0,17,1,2268,3.9078431372549023
Thomas Rahman,3,0,12,4,1581,3.282222222222222
Timo Henrichs,1,1,7,1,1602,4.1000000000000005
Timothy Weah,12,4,46,17,1214,4.286842105263158
Timothy Yedlin,1,1,8,1,1229,3.2710526315789474
Timothy Zimmerman,0,1,4,0,1272,4.239473684210526
Trezeguet Ashour,1,0,17,2,1874,4.0488888888888885
Trezeguet Ibrahim,8,5,37,11,1844,3.6666666666666665
Trezeguet Said,4,8,31,6,1900,4.446666666666666
Trezeguet Trezeguet,0,0,0,0,1176,2.2377777777777776
Tyler Balogan,0,2,9,0,1202,3.823684210526316
Tyler McKennie,2,1,21,4,1293,3.3868421052631574
Tyler Morris,2,5,17,4,1197,3.7947368421052627
Victor Ajayi,6,1,38,12,1518,3.9200000000000004
Victor Aribo,1,1,4,1,1771,3.9625
Victor Chukwueze,0,0,0,0,944,2.2024999999999997
Victor Ola-Aina,1,7,23,3,1422,4.1
Viktor Holm,5,2,29,5,1553,4.286111111111111
Viktor Isak,7,1,24,10,1221,3.197222222222222
Viktor Karavaev,3,0,10,3,1327,3.9421052631578952
Viktor Krafth,2,1,6,2,1335,4.397222222222222
Viktor Stepanenko,2,1,22,5,1424,3.5842105263157893
Viktor Zinchenko,2,4,20,3,1614,4.207894736842105
Vincent Castelleto,1,0,14,2,1556,3.2613636363636362
Vincent Choupo-Moting,6,5,59,18,1262,3.9795454545454545
Vincent Lea,1,1,19,2,1493,3.2340909090909093
Vinicius Guimaraes,0,1,13,0,1496,3.5244444444444443
Vinicius Martins,0,0,0,0,1403,2.3200000000000003
Vinicius Moreira,2,3,15,2,2019,3.9066666666666667
Vinicius Nunes,15,6,88,31,1767,4.3
Virgil Lang,6,2,24,8,2079,3.6685185185185185
Virgil Weghorst,0,2,13,0,1867,4.312962962962963
Virgil van Dijk,8,6,62,15,2268,3.7203703703703703
Wahbi Bronn,0,1,13,0,1897,4.482978723404255
Wahbi Chalali,12,5,62,19,1870,4.085106382978723
Wahbi Dragger,2,3,7,2,1763,3.853191489361702
Wahbi Msakni,0,0,0,0,671,1.1638297872340426
Wataru Itakura,0,2,7,0,974,3.2416666666666667
Wataru Kubo,3,4,39,8,1140,3.9500000000000006
Wataru Ueda,0,3,14,1,1116,3.5277777777777777
Weston Acosta,2,1,21,5,1344,4.0736842105263165
Weston Adams,0,0,0,0,1090,2.3947368421052633
Weston Dest,1,0,9,1,1611,3.513157894736842
Weston Yedlin,4,6,31,8,1139,3.360526315789474
Wilfred Agbadou,8,5,44,11,1377,3.6725000000000003
Wilfred Iheanacho,0,5,30,0,1575,4.7625
Wilfred Moffi,1,1,6,1,1196,3.5075000000000003
Wilfred Okafor,0,0,0,0,899,1.6575
Woo-young Ji,0,3,7,0,1169,3.6205882352941177
Woo-young Na,1,1,7,1,1132,2.9529411764705884
Xaver Kofler,0,0,3,0,1001,2.809090909090909
Xaver Sabitzer,3,3,29,5,1435,4.2272727272727275
Xavi Veerman,1,0,16,2,2010,3.5981481481481485
Xherdan Aebischer,3,2,18,3,1163,3.442857142857143
Xherdan Fernandes,0,1,5,0,1320,3.9571428571428573
Xherdan Mvogo,5,0,23,8,1084,3.1857142857142855
Xherdan Sommer,0,0,0,0,652,1.7057142857142857
Yacine Aouar,2,4,9,3,1199,3.1243902439024387
Yacine Benkhemassa,2,5,25,3,1449,3.7390243902439027
Yacine Bennacer,5,4,36,8,1287,3.4609756097560975
Yann Blerim,1,4,21,4,1303,3.8
Yann Elvedi,1,1,7,1,1194,3.76
Yann Shaqiri,9,1,29,10,1831,4.757142857142857
Yasser Al-Buraikan,6,2,55,12,1909,3.4326923076923075
Yasser Al-Harbi,3,4,25,4,2156,3.944230769230769
Yasser Al-Owais,0,1,8,0,1672,3.411538461538462
Yassine Amrabat,5,4,95,24,2014,3.88
Yassine Dari,1,0,11,1,1787,3.258181818181818
Yassine El Yamiq,5,13,35,8,2200,4.614545454545455
Yerry Barrios,2,2,10,2,1547,3.491304347826087
Yerry Cantillo,1,3,10,1,1820,3.9586956521739127
Yerry Rodriguez,9,2,23,10,1328,3.191304347826087
Yevhen Kryvtsov,3,3,28,6,1375,3.892105263157895
Yevhen Yaremchuk,2,0,9,3,1481,3.3815789473684212
Yoel Rodriguez,2,3,9,2,1747,3.4936170212765956
Young-woo Hwang,1,1,8,2,1015,3.0411764705882356
Young-woo Jeong,0,2,13,0,1437,4.097058823529412
Youri Chadli,0,0,13,1,1526,2.9549019607843134
Youri Courtois,6,6,76,21,2356,4.52156862745098
Youri Saelemaekers,3,5,24,4,2102,4.3960784313725485
Youssef Dahmen,1,1,10,1,1784,3.502127659574468
Youssef Krid,8,7,46,11,1910,4.219148936170213
Youssef Laidouni,1,1,7,1,1389,3.817021276595745
Youssef Skhiri,0,0,0,0,1504,2.925531914893617
Yunus Robinson,2,1,3,2,1441,3.486842105263158
Yusuf Kilicsoy,1,3,15,1,1901,3.4960000000000004
Yusuf Unal,3,3,24,3,2126,3.8280000000000003
